# Residuals   
# Time        	Ux            	Uy            	p             
4             	N/A	N/A
4.00045       	1.090601e-03	3.927555e-04	1.898408e-02
4.00091       	1.091790e-03	3.933707e-04	1.773213e-02
4.00136       	1.092929e-03	3.939850e-04	1.767038e-02
4.00182       	1.094171e-03	3.946106e-04	1.746743e-02
4.00227       	1.095378e-03	3.951666e-04	1.764788e-02
4.00273       	1.096478e-03	3.956584e-04	1.763748e-02
4.00318       	1.097528e-03	3.961584e-04	1.769654e-02
4.00364       	1.098559e-03	3.966787e-04	1.773838e-02
4.00409       	1.099674e-03	3.972229e-04	1.761492e-02
4.00455       	1.100791e-03	3.977872e-04	1.753245e-02
4.005         	1.101934e-03	3.983817e-04	1.762975e-02
4.00545       	1.103078e-03	3.990068e-04	1.770500e-02
4.00591       	1.104197e-03	3.996608e-04	1.796099e-02
4.00636       	1.105286e-03	4.003491e-04	1.758464e-02
4.00682       	1.106233e-03	4.010311e-04	1.759130e-02
4.00727       	1.107176e-03	4.017153e-04	1.765133e-02
4.00773       	1.108193e-03	4.024308e-04	1.771789e-02
4.00818       	1.109171e-03	4.031369e-04	1.768679e-02
4.00864       	1.110117e-03	4.038017e-04	1.780848e-02
4.00909       	1.111054e-03	4.044315e-04	1.786243e-02
4.00955       	1.112009e-03	4.050506e-04	1.795963e-02
4.01          	1.112980e-03	4.056649e-04	1.789529e-02
4.01045       	1.113954e-03	4.062550e-04	1.777860e-02
4.01091       	1.114963e-03	4.068251e-04	1.769233e-02
4.01136       	1.115972e-03	4.074036e-04	1.787880e-02
4.0118        	1.061280e-03	3.876346e-04	2.483419e-02
4.01223       	1.062551e-03	3.882318e-04	2.163829e-02
4.01266       	1.063611e-03	3.887635e-04	1.956195e-02
4.01309       	1.064681e-03	3.893033e-04	1.848029e-02
4.01352       	1.065654e-03	3.898576e-04	1.765152e-02
4.01395       	1.066515e-03	3.904360e-04	1.735496e-02
4.01439       	1.067339e-03	3.910318e-04	1.743067e-02
4.01482       	1.068202e-03	3.916228e-04	1.711582e-02
4.01525       	1.069103e-03	3.921640e-04	1.691108e-02
4.01568       	1.069997e-03	3.926779e-04	1.700250e-02
4.01611       	1.070906e-03	3.931751e-04	1.712880e-02
4.01655       	1.071859e-03	3.936662e-04	1.696095e-02
4.01698       	1.072832e-03	3.941699e-04	1.696378e-02
4.01741       	1.073816e-03	3.946833e-04	1.689999e-02
4.01784       	1.074810e-03	3.952118e-04	1.664406e-02
4.01827       	1.075783e-03	3.957476e-04	1.663597e-02
4.0187        	1.076795e-03	3.962783e-04	1.655724e-02
4.01914       	1.077810e-03	3.968127e-04	1.657197e-02
4.01957       	1.078803e-03	3.973593e-04	1.657030e-02
4.02          	1.079776e-03	3.979149e-04	1.629661e-02
4.02043       	1.088203e-03	4.012191e-04	1.662815e-02
4.02087       	1.089285e-03	4.018157e-04	1.666415e-02
4.0213        	1.090340e-03	4.024385e-04	1.650724e-02
4.02174       	1.091414e-03	4.030364e-04	1.687793e-02
4.02217       	1.092375e-03	4.035572e-04	1.739279e-02
4.02261       	1.093332e-03	4.041039e-04	1.722552e-02
4.02304       	1.094286e-03	4.046288e-04	1.750384e-02
4.02348       	1.095337e-03	4.051466e-04	1.795121e-02
4.02391       	1.096402e-03	4.056555e-04	1.806804e-02
4.02435       	1.097493e-03	4.061760e-04	1.812221e-02
4.02478       	1.098538e-03	4.066805e-04	1.819886e-02
4.02522       	1.099581e-03	4.072181e-04	1.828143e-02
4.02565       	1.100579e-03	4.077539e-04	1.808966e-02
4.02609       	1.101635e-03	4.082840e-04	1.798093e-02
4.02652       	1.102749e-03	4.088244e-04	1.776504e-02
4.02696       	1.103822e-03	4.093954e-04	1.754101e-02
4.02739       	1.104847e-03	4.099448e-04	1.729460e-02
