# Residuals   
# Time        	Ux            	Uy            	p             
7.63344       	1.670688e-03	1.249288e-03	2.269640e-02
7.63375       	1.670866e-03	1.249309e-03	2.264699e-02
7.63406       	1.671056e-03	1.249311e-03	2.271264e-02
7.63437       	1.671246e-03	1.249232e-03	2.250411e-02
7.63469       	1.671378e-03	1.249171e-03	2.241390e-02
7.635         	1.671459e-03	1.249074e-03	2.218337e-02
7.63531       	1.671491e-03	1.248859e-03	2.223282e-02
7.63562       	1.671554e-03	1.248641e-03	2.235455e-02
7.63594       	1.671644e-03	1.248444e-03	2.218505e-02
7.63625       	1.671768e-03	1.248323e-03	2.217329e-02
7.63656       	1.671931e-03	1.248292e-03	2.212038e-02
7.63687       	1.672043e-03	1.248124e-03	2.206853e-02
7.63719       	1.672182e-03	1.247843e-03	2.198875e-02
7.6375        	1.672309e-03	1.247563e-03	2.165696e-02
7.63781       	1.672459e-03	1.247479e-03	2.168662e-02
7.63812       	1.672647e-03	1.247495e-03	2.146683e-02
7.63844       	1.672851e-03	1.247449e-03	2.159480e-02
7.63875       	1.673088e-03	1.247375e-03	2.156828e-02
7.63906       	1.673326e-03	1.247347e-03	2.170732e-02
7.63938       	1.673575e-03	1.247380e-03	2.179532e-02
7.63969       	1.673803e-03	1.247420e-03	2.203760e-02
7.64          	1.674033e-03	1.247418e-03	2.243258e-02
7.64031       	1.674313e-03	1.247429e-03	2.202833e-02
7.64062       	1.674574e-03	1.247469e-03	2.213919e-02
7.64094       	1.674747e-03	1.247474e-03	2.240382e-02
7.64125       	1.674848e-03	1.247442e-03	2.253420e-02
7.64156       	1.674919e-03	1.247502e-03	2.212046e-02
7.64187       	1.675028e-03	1.247459e-03	2.194204e-02
7.64219       	1.675151e-03	1.247331e-03	2.206402e-02
7.6425        	1.675296e-03	1.247229e-03	2.216663e-02
7.64281       	1.675449e-03	1.247204e-03	2.201450e-02
7.64312       	1.675563e-03	1.247184e-03	2.193875e-02
7.64344       	1.675639e-03	1.247010e-03	2.192546e-02
7.64375       	1.675757e-03	1.246843e-03	2.201607e-02
7.64406       	1.675936e-03	1.246630e-03	2.199174e-02
7.64437       	1.676080e-03	1.246446e-03	2.203710e-02
7.64469       	1.676247e-03	1.246389e-03	2.184355e-02
