# Residuals   
# Time        	Ux            	Uy            	p             
0             	N/A	N/A
0.0688235     	1.334486e-03	1.761286e-03	1.682749e-02
0.0694118     	1.325984e-03	1.751828e-03	1.663117e-02
0.07          	1.316330e-03	1.739761e-03	1.631740e-02
0.0705882     	1.308122e-03	1.726257e-03	1.605901e-02
0.0711765     	1.301510e-03	1.711313e-03	1.582996e-02
0.0717647     	1.294328e-03	1.696911e-03	1.548141e-02
0.0723529     	1.288343e-03	1.682703e-03	1.525703e-02
0.0729412     	1.283793e-03	1.668546e-03	1.527244e-02
0.0735294     	1.281432e-03	1.652171e-03	1.534848e-02
0.0741176     	1.279757e-03	1.633647e-03	1.529792e-02
0.0747059     	1.278221e-03	1.613772e-03	1.518160e-02
0.0752941     	1.277690e-03	1.596158e-03	1.498309e-02
0.0758824     	1.275432e-03	1.580122e-03	1.487124e-02
0.0764706     	1.273438e-03	1.566231e-03	1.467825e-02
0.0770588     	1.271462e-03	1.553242e-03	1.445014e-02
0.0776471     	1.269271e-03	1.541237e-03	1.423226e-02
0.0781176     	1.015382e-03	1.226090e-03	9.540091e-02
0.0785882     	1.032528e-03	1.241087e-03	6.451059e-02
0.0790588     	1.042665e-03	1.249424e-03	4.423374e-02
0.0795294     	1.049633e-03	1.251758e-03	3.116341e-02
0.08          	1.053260e-03	1.250375e-03	2.286675e-02
0.0805263     	1.177403e-03	1.392612e-03	4.091840e-02
0.0810836     	1.234091e-03	1.452695e-03	5.544284e-02
0.0816409     	1.219480e-03	1.429400e-03	4.201095e-02
0.0821981     	1.210986e-03	1.411069e-03	3.252592e-02
0.0827554     	1.204400e-03	1.396732e-03	2.599998e-02
0.0833127     	1.199488e-03	1.383229e-03	2.147757e-02
0.08387       	1.197303e-03	1.373482e-03	1.847580e-02
0.0844272     	1.195711e-03	1.366427e-03	1.650006e-02
0.0849845     	1.195778e-03	1.360870e-03	1.503384e-02
0.0855418     	1.194434e-03	1.354729e-03	1.396670e-02
0.0860991     	1.191535e-03	1.348046e-03	1.323099e-02
0.0866563     	1.187743e-03	1.341937e-03	1.272155e-02
0.0872136     	1.183565e-03	1.335392e-03	1.231898e-02
0.0877709     	1.179384e-03	1.329579e-03	1.214515e-02
0.0883282     	1.176074e-03	1.323887e-03	1.201224e-02
0.0888854     	1.175109e-03	1.317554e-03	1.184215e-02
0.0894427     	1.174905e-03	1.310534e-03	1.172337e-02
0.09          	1.173722e-03	1.303262e-03	1.151865e-02
0.0905556     	1.170574e-03	1.292741e-03	1.080606e-02
0.0911111     	1.172653e-03	1.287554e-03	1.079406e-02
0.0916667     	1.174359e-03	1.282719e-03	1.085919e-02
0.0922222     	1.175313e-03	1.277601e-03	1.088577e-02
0.0927778     	1.175572e-03	1.272361e-03	1.089712e-02
0.0933333     	1.174349e-03	1.267858e-03	1.082198e-02
0.0938889     	1.173126e-03	1.264225e-03	1.078811e-02
0.0944444     	1.172048e-03	1.262444e-03	1.078557e-02
0.095         	1.170613e-03	1.260240e-03	1.078248e-02
0.0955556     	1.168699e-03	1.257882e-03	1.076443e-02
0.0961111     	1.167319e-03	1.255303e-03	1.083209e-02
0.0966667     	1.166908e-03	1.252827e-03	1.086791e-02
0.0972222     	1.167378e-03	1.248970e-03	1.086746e-02
0.0977778     	1.166721e-03	1.245586e-03	1.081298e-02
0.0983333     	1.166314e-03	1.242383e-03	1.085581e-02
0.0988889     	1.166837e-03	1.239009e-03	1.087809e-02
0.0994444     	1.169268e-03	1.235194e-03	1.083198e-02
0.1           	1.171068e-03	1.231258e-03	1.075816e-02
0.100526      	1.111979e-03	1.163032e-03	2.400620e-02
0.101053      	1.112905e-03	1.162655e-03	1.792727e-02
0.101579      	1.112806e-03	1.160571e-03	1.416504e-02
0.102105      	1.114112e-03	1.158291e-03	1.188429e-02
0.102632      	1.116277e-03	1.155864e-03	1.055416e-02
0.103158      	1.117142e-03	1.153537e-03	9.792436e-03
0.103684      	1.118012e-03	1.150264e-03	9.394528e-03
0.104211      	1.119428e-03	1.146290e-03	9.234335e-03
0.104737      	1.120279e-03	1.142105e-03	9.291996e-03
0.105263      	1.120939e-03	1.137004e-03	9.375539e-03
0.105789      	1.121875e-03	1.131375e-03	9.479434e-03
0.106316      	1.123436e-03	1.126687e-03	9.452573e-03
0.106842      	1.125127e-03	1.122454e-03	9.414138e-03
0.107368      	1.126155e-03	1.118624e-03	9.454469e-03
0.107895      	1.127113e-03	1.114793e-03	9.496580e-03
0.108421      	1.128546e-03	1.111490e-03	9.531528e-03
0.108947      	1.130285e-03	1.108683e-03	9.526650e-03
0.109474      	1.132077e-03	1.106085e-03	9.515128e-03
0.11          	1.133687e-03	1.103744e-03	9.432403e-03
0.110526      	1.135703e-03	1.102057e-03	9.378396e-03
0.111053      	1.136506e-03	1.100187e-03	9.406030e-03
0.111579      	1.136673e-03	1.098491e-03	9.443439e-03
0.112105      	1.136678e-03	1.096887e-03	9.435891e-03
0.112632      	1.136993e-03	1.094891e-03	9.407402e-03
0.113158      	1.137320e-03	1.092920e-03	9.436645e-03
0.113684      	1.137681e-03	1.091240e-03	9.527103e-03
0.114211      	1.137716e-03	1.089538e-03	9.596612e-03
0.114737      	1.138877e-03	1.088308e-03	9.587085e-03
0.115263      	1.140580e-03	1.087054e-03	9.625247e-03
0.115789      	1.141061e-03	1.085990e-03	9.644648e-03
0.116257      	1.015358e-03	9.656091e-04	5.052493e-02
0.116725      	1.018651e-03	9.689317e-04	3.503876e-02
0.117193      	1.021289e-03	9.709535e-04	2.474910e-02
0.117661      	1.023080e-03	9.716279e-04	1.805152e-02
0.118129      	1.024126e-03	9.713356e-04	1.372139e-02
0.118596      	1.024865e-03	9.703379e-04	1.111327e-02
0.119064      	1.025351e-03	9.692449e-04	9.521012e-03
0.119532      	1.025471e-03	9.680740e-04	8.712482e-03
0.12          	1.024919e-03	9.668533e-04	8.390759e-03
0.1205        	1.093665e-03	1.031267e-03	3.251701e-02
0.121         	1.090512e-03	1.027877e-03	2.529067e-02
0.1215        	1.088392e-03	1.025738e-03	2.001202e-02
0.122         	1.086584e-03	1.023969e-03	1.637655e-02
0.1225        	1.085009e-03	1.022554e-03	1.388899e-02
0.123         	1.083703e-03	1.021428e-03	1.219562e-02
0.1235        	1.082421e-03	1.020219e-03	1.113542e-02
0.124         	1.081509e-03	1.019157e-03	1.041079e-02
0.1245        	1.081182e-03	1.018542e-03	9.944712e-03
0.125         	1.080888e-03	1.017915e-03	9.741652e-03
0.125455      	9.826880e-04	9.252610e-04	4.064634e-02
0.125909      	9.833839e-04	9.269536e-04	2.861514e-02
0.126364      	9.839453e-04	9.277756e-04	2.057457e-02
0.126818      	9.842299e-04	9.280853e-04	1.546475e-02
0.127273      	9.858755e-04	9.282355e-04	1.217256e-02
