# Residuals   
# Time        	Ux            	Uy            	p             
10            	N/A	N/A
10.0387       	1.823223e-03	1.402163e-03	2.666376e-02
10.039        	1.823404e-03	1.402214e-03	2.650457e-02
10.0393       	1.813665e-03	1.394639e-03	2.679767e-02
10.0397       	1.813864e-03	1.394666e-03	2.651770e-02
10.04         	1.814117e-03	1.394778e-03	2.638713e-02
10.0403       	1.804417e-03	1.387284e-03	2.651525e-02
10.0407       	1.804714e-03	1.387394e-03	2.652227e-02
10.041        	1.804999e-03	1.387469e-03	2.647661e-02
10.0413       	1.795236e-03	1.379774e-03	2.674703e-02
10.0417       	1.795435e-03	1.379786e-03	2.666730e-02
10.042        	1.785610e-03	1.372194e-03	2.695654e-02
10.0423       	1.785842e-03	1.372386e-03	2.642231e-02
10.0426       	1.786020e-03	1.372542e-03	2.629009e-02
10.043        	1.786163e-03	1.372709e-03	2.629810e-02
10.0433       	1.776147e-03	1.365129e-03	2.593026e-02
10.0436       	1.776285e-03	1.365268e-03	2.608924e-02
10.0439       	1.776432e-03	1.365418e-03	2.592233e-02
10.0443       	1.766299e-03	1.357593e-03	2.622293e-02
10.0446       	1.766373e-03	1.357594e-03	2.634775e-02
10.0449       	1.766518e-03	1.357604e-03	2.617840e-02
10.0452       	1.766721e-03	1.357588e-03	2.661545e-02
10.0455       	1.756607e-03	1.349701e-03	2.652058e-02
10.0459       	1.756733e-03	1.349746e-03	2.655309e-02
10.0462       	1.756800e-03	1.349800e-03	2.634803e-02
10.0465       	1.746543e-03	1.341922e-03	2.643057e-02
10.0468       	1.746669e-03	1.342060e-03	2.636528e-02
10.0471       	1.746821e-03	1.342178e-03	2.644657e-02
10.0475       	1.746991e-03	1.342288e-03	2.649918e-02
10.0478       	1.747109e-03	1.342413e-03	2.642789e-02
10.0481       	1.736570e-03	1.334423e-03	2.638508e-02
10.0484       	1.736609e-03	1.334565e-03	2.643175e-02
10.0487       	1.736651e-03	1.334760e-03	2.632852e-02
10.049        	1.736695e-03	1.334896e-03	2.644903e-02
10.0494       	1.736703e-03	1.334881e-03	2.620658e-02
10.0497       	1.736718e-03	1.334926e-03	2.601847e-02
10.05         	1.725910e-03	1.326665e-03	2.632572e-02
10.0503       	1.725961e-03	1.326731e-03	2.642034e-02
10.0506       	1.726004e-03	1.326796e-03	2.644295e-02
10.0509       	1.726049e-03	1.326869e-03	2.640288e-02
10.0512       	1.726104e-03	1.326939e-03	2.690282e-02
10.0516       	1.715194e-03	1.318470e-03	2.721394e-02
10.0519       	1.715301e-03	1.318534e-03	2.682994e-02
10.0522       	1.715425e-03	1.318630e-03	2.669182e-02
10.0525       	1.715539e-03	1.318714e-03	2.656129e-02
10.0528       	1.715585e-03	1.318758e-03	2.675262e-02
10.0531       	1.715583e-03	1.318800e-03	2.641069e-02
10.0534       	1.715599e-03	1.318908e-03	2.670276e-02
10.0537       	1.715711e-03	1.318995e-03	2.663165e-02
10.0541       	1.715868e-03	1.319099e-03	2.679240e-02
10.0544       	1.715994e-03	1.319144e-03	2.657258e-02
10.0547       	1.716033e-03	1.319128e-03	2.647522e-02
10.055        	1.716042e-03	1.319149e-03	2.631016e-02
10.0553       	1.716033e-03	1.319203e-03	2.654325e-02
10.0556       	1.716041e-03	1.319280e-03	2.630771e-02
10.0559       	1.715920e-03	1.319280e-03	2.622993e-02
10.0562       	1.715810e-03	1.319299e-03	2.602698e-02
10.0566       	1.715736e-03	1.319355e-03	2.598986e-02
10.0569       	1.715728e-03	1.319415e-03	2.608301e-02
10.0572       	1.715731e-03	1.319455e-03	2.623886e-02
10.0575       	1.715757e-03	1.319478e-03	2.606200e-02
10.0578       	1.715727e-03	1.319521e-03	2.599108e-02
10.0581       	1.715726e-03	1.319528e-03	2.596189e-02
10.0584       	1.715824e-03	1.319501e-03	2.617445e-02
10.0587       	1.715781e-03	1.319561e-03	2.609514e-02
10.0591       	1.715724e-03	1.319723e-03	2.596551e-02
10.0594       	1.715731e-03	1.319944e-03	2.603902e-02
10.0597       	1.715718e-03	1.320156e-03	2.574629e-02
10.06         	1.715721e-03	1.320378e-03	2.564793e-02
10.0603       	1.715681e-03	1.320613e-03	2.566866e-02
10.0606       	1.715730e-03	1.320806e-03	2.598351e-02
10.0609       	1.715750e-03	1.320986e-03	2.592998e-02
10.0612       	1.715760e-03	1.321131e-03	2.582903e-02
10.0616       	1.715733e-03	1.321294e-03	2.568963e-02
10.0619       	1.715705e-03	1.321457e-03	2.589444e-02
10.0622       	1.715636e-03	1.321593e-03	2.597904e-02
10.0625       	1.715485e-03	1.321684e-03	2.589576e-02
10.0628       	1.715228e-03	1.321690e-03	2.567464e-02
10.0631       	1.715050e-03	1.321663e-03	2.562920e-02
10.0634       	1.729533e-03	1.332903e-03	2.582767e-02
10.0638       	1.729401e-03	1.332912e-03	2.609296e-02
10.0641       	1.729237e-03	1.332940e-03	2.643606e-02
10.0644       	1.729052e-03	1.333014e-03	2.660626e-02
10.0647       	1.728863e-03	1.333072e-03	2.697642e-02
10.065        	1.728673e-03	1.333068e-03	2.698682e-02
10.0653       	1.728420e-03	1.333046e-03	2.713840e-02
10.0656       	1.728190e-03	1.333042e-03	2.733509e-02
10.066        	1.727998e-03	1.333086e-03	2.721137e-02
10.0663       	1.727814e-03	1.333098e-03	2.754345e-02
10.0666       	1.743901e-03	1.345730e-03	2.789334e-02
10.0669       	1.743660e-03	1.345789e-03	2.783998e-02
10.0672       	1.743418e-03	1.345855e-03	2.797766e-02
10.0675       	1.743289e-03	1.346028e-03	2.824737e-02
10.0679       	1.743296e-03	1.346348e-03	2.778910e-02
10.0682       	1.743266e-03	1.346438e-03	2.792588e-02
10.0685       	1.743299e-03	1.346612e-03	2.799200e-02
10.0688       	1.761074e-03	1.360531e-03	2.811159e-02
10.0691       	1.761067e-03	1.360771e-03	2.809529e-02
10.0695       	1.760982e-03	1.360950e-03	2.767340e-02
10.0698       	1.760869e-03	1.361089e-03	2.747428e-02
10.0701       	1.760741e-03	1.361241e-03	2.718905e-02
10.0704       	1.760568e-03	1.361366e-03	2.733409e-02
10.0708       	1.779741e-03	1.376405e-03	2.746119e-02
10.0711       	1.779671e-03	1.376561e-03	2.777205e-02
10.0714       	1.779586e-03	1.376768e-03	2.772454e-02
10.0717       	1.779469e-03	1.377049e-03	2.811688e-02
10.0721       	1.779360e-03	1.377285e-03	2.833090e-02
10.0724       	1.779247e-03	1.377546e-03	2.824642e-02
10.0727       	1.800261e-03	1.394121e-03	2.887032e-02
10.073        	1.800077e-03	1.394244e-03	2.903159e-02
10.0734       	1.799942e-03	1.394351e-03	2.900104e-02
10.0737       	1.799748e-03	1.394380e-03	2.880974e-02
10.074        	1.799570e-03	1.394431e-03	2.903159e-02
10.0744       	1.799365e-03	1.394541e-03	2.891855e-02
10.0747       	1.822532e-03	1.412721e-03	2.901840e-02
10.075        	1.822385e-03	1.412729e-03	2.900709e-02
10.0754       	1.822314e-03	1.412896e-03	2.900661e-02
10.0757       	1.822209e-03	1.413012e-03	2.862984e-02
10.076        	1.822026e-03	1.413059e-03	2.834976e-02
10.0764       	1.821800e-03	1.413084e-03	2.839431e-02
10.0767       	1.821589e-03	1.413048e-03	2.828007e-02
10.077        	1.847741e-03	1.433497e-03	2.855636e-02
10.0774       	1.847450e-03	1.433391e-03	2.846479e-02
10.0777       	1.847248e-03	1.433347e-03	2.856803e-02
10.078        	1.847072e-03	1.433439e-03	2.894768e-02
10.0784       	1.846833e-03	1.433588e-03	2.872231e-02
10.0787       	1.846664e-03	1.433735e-03	2.879381e-02
10.0791       	1.876204e-03	1.456969e-03	2.937160e-02
10.0794       	1.875953e-03	1.457154e-03	2.979818e-02
10.0797       	1.875712e-03	1.457366e-03	2.985490e-02
10.0801       	1.875404e-03	1.457500e-03	2.956633e-02
10.0804       	1.875183e-03	1.457740e-03	2.934351e-02
10.0808       	1.875033e-03	1.457995e-03	2.954572e-02
10.0811       	1.874879e-03	1.458297e-03	2.954114e-02
10.0815       	1.909423e-03	1.485579e-03	3.008614e-02
10.0818       	1.909330e-03	1.485814e-03	2.975325e-02
10.0822       	1.909266e-03	1.486034e-03	2.989223e-02
10.0825       	1.909232e-03	1.486268e-03	2.988668e-02
10.0829       	1.909073e-03	1.486431e-03	2.979441e-02
10.0832       	1.908849e-03	1.486484e-03	2.984482e-02
10.0836       	1.908586e-03	1.486457e-03	2.942172e-02
10.0839       	1.908336e-03	1.486522e-03	2.957325e-02
10.0843       	1.908050e-03	1.486615e-03	2.964680e-02
10.0846       	1.907838e-03	1.486876e-03	2.995947e-02
10.085        	1.907685e-03	1.487297e-03	2.991709e-02
10.0853       	1.952843e-03	1.522937e-03	3.035340e-02
10.0857       	1.952657e-03	1.523106e-03	2.983224e-02
10.086        	1.952403e-03	1.523314e-03	2.971727e-02
10.0864       	1.952095e-03	1.523453e-03	2.991265e-02
10.0868       	1.951830e-03	1.523657e-03	3.038775e-02
10.0871       	1.951552e-03	1.523865e-03	3.047798e-02
10.0875       	1.951344e-03	1.524157e-03	3.069833e-02
10.0878       	1.951155e-03	1.524543e-03	3.059429e-02
10.0882       	1.950952e-03	1.524944e-03	3.073652e-02
10.0885       	1.950771e-03	1.525314e-03	3.046694e-02
10.0889       	1.950646e-03	1.525674e-03	3.082489e-02
10.0893       	1.950480e-03	1.526034e-03	3.064586e-02
10.0896       	1.950181e-03	1.526255e-03	3.028684e-02
10.09         	1.949858e-03	1.526495e-03	3.019081e-02
10.0903       	1.949531e-03	1.526694e-03	2.981723e-02
10.0907       	1.949211e-03	1.526840e-03	2.994782e-02
10.091        	1.948945e-03	1.527032e-03	2.999448e-02
10.0914       	1.948726e-03	1.527344e-03	2.994064e-02
10.0918       	1.948520e-03	1.527768e-03	2.984335e-02
10.0921       	1.948191e-03	1.528137e-03	3.003637e-02
10.0925       	1.947878e-03	1.528533e-03	2.997522e-02
10.0928       	1.947547e-03	1.528768e-03	3.000500e-02
10.0932       	1.947182e-03	1.529027e-03	2.961534e-02
10.0936       	1.946810e-03	1.529284e-03	2.974068e-02
10.0939       	1.946374e-03	1.529618e-03	2.990005e-02
10.0943       	1.946041e-03	1.529982e-03	3.037050e-02
10.0946       	1.945786e-03	1.530407e-03	3.036924e-02
10.095        	1.945503e-03	1.530783e-03	3.044732e-02
10.0953       	1.945230e-03	1.531083e-03	3.058610e-02
10.0957       	1.944985e-03	1.531289e-03	3.076675e-02
10.0961       	1.944751e-03	1.531577e-03	3.069289e-02
10.0964       	1.944483e-03	1.531790e-03	3.047636e-02
10.0968       	1.944240e-03	1.532035e-03	3.014761e-02
10.0971       	1.943905e-03	1.532190e-03	3.041658e-02
10.0975       	1.943556e-03	1.532473e-03	3.034999e-02
10.0979       	1.943250e-03	1.532705e-03	3.026292e-02
10.0982       	1.942995e-03	1.532795e-03	3.027908e-02
10.0986       	1.942793e-03	1.533031e-03	2.996836e-02
10.0989       	1.942553e-03	1.533205e-03	2.982093e-02
10.0993       	1.942294e-03	1.533315e-03	2.988510e-02
10.0996       	1.942006e-03	1.533455e-03	3.034976e-02
10.1          	1.941667e-03	1.533575e-03	3.031706e-02
10.1004       	1.971554e-03	1.557611e-03	3.099067e-02
10.1007       	1.971121e-03	1.557676e-03	3.179105e-02
10.1011       	1.977889e-03	1.563462e-03	3.134472e-02
10.1015       	1.977570e-03	1.563674e-03	3.120905e-02
10.1018       	1.977264e-03	1.563844e-03	3.123272e-02
10.1022       	1.969636e-03	1.558233e-03	3.113312e-02
10.1025       	1.969399e-03	1.558419e-03	3.118826e-02
10.1029       	1.969119e-03	1.558670e-03	3.111785e-02
10.1033       	1.961395e-03	1.552967e-03	3.082485e-02
10.1036       	1.961073e-03	1.553049e-03	3.053269e-02
10.104        	1.960795e-03	1.553141e-03	3.082960e-02
10.1044       	1.960574e-03	1.553267e-03	3.076015e-02
10.1047       	1.960334e-03	1.553352e-03	3.105803e-02
10.1051       	1.952723e-03	1.547735e-03	3.129596e-02
10.1054       	1.952492e-03	1.547982e-03	3.073880e-02
10.1058       	1.952158e-03	1.548122e-03	3.060459e-02
10.1062       	1.951890e-03	1.548301e-03	3.073158e-02
10.1065       	1.951601e-03	1.548477e-03	3.034362e-02
10.1069       	1.951267e-03	1.548641e-03	3.039022e-02
10.1073       	1.950976e-03	1.548690e-03	3.070353e-02
10.1076       	1.950774e-03	1.548875e-03	3.139029e-02
10.108        	1.950522e-03	1.549134e-03	3.048894e-02
10.1083       	1.950332e-03	1.549409e-03	3.058101e-02
10.1087       	1.950136e-03	1.549635e-03	3.079777e-02
10.1091       	1.949971e-03	1.549829e-03	3.078235e-02
10.1094       	1.949790e-03	1.550087e-03	3.081976e-02
10.1098       	1.949480e-03	1.550225e-03	3.095424e-02
10.1101       	1.949175e-03	1.550353e-03	3.103953e-02
10.1105       	1.948896e-03	1.550535e-03	3.086950e-02
10.1109       	1.956533e-03	1.556823e-03	3.071463e-02
10.1112       	1.956300e-03	1.556865e-03	3.049721e-02
10.1116       	1.956204e-03	1.557029e-03	3.058093e-02
10.1119       	1.956137e-03	1.557195e-03	3.042895e-02
10.1123       	1.956035e-03	1.557407e-03	3.072391e-02
10.1127       	1.964017e-03	1.564009e-03	3.127117e-02
10.113        	1.963905e-03	1.564190e-03	3.057750e-02
10.1134       	1.963658e-03	1.564232e-03	3.016667e-02
10.1138       	1.963311e-03	1.564324e-03	3.007000e-02
10.1141       	1.971283e-03	1.571124e-03	3.011392e-02
10.1145       	1.971007e-03	1.571370e-03	3.004503e-02
10.1149       	1.979269e-03	1.578397e-03	2.962735e-02
10.1152       	1.979027e-03	1.578634e-03	2.981567e-02
10.1156       	1.987400e-03	1.585851e-03	2.953482e-02
10.116        	1.987202e-03	1.586062e-03	2.940198e-02
10.1163       	1.987014e-03	1.586315e-03	2.931521e-02
10.1167       	1.995533e-03	1.593466e-03	2.955488e-02
10.1171       	1.995290e-03	1.593589e-03	2.949953e-02
10.1174       	2.003884e-03	1.600772e-03	2.949157e-02
10.1178       	2.003529e-03	1.600744e-03	2.967932e-02
10.1182       	2.012390e-03	1.608172e-03	2.973499e-02
10.1186       	2.012186e-03	1.608376e-03	2.969346e-02
10.1189       	2.021208e-03	1.615891e-03	2.977656e-02
10.1193       	2.020966e-03	1.616012e-03	3.001958e-02
10.1197       	2.030130e-03	1.623602e-03	3.028627e-02
10.1201       	2.029833e-03	1.623554e-03	3.028002e-02
10.1205       	2.039126e-03	1.631292e-03	3.037902e-02
10.1208       	2.038894e-03	1.631337e-03	3.028044e-02
10.1212       	2.048473e-03	1.639193e-03	3.046690e-02
10.1216       	2.048231e-03	1.639312e-03	3.022775e-02
10.122        	2.057928e-03	1.647383e-03	3.028029e-02
10.1224       	2.057719e-03	1.647686e-03	3.017508e-02
10.1227       	2.067702e-03	1.656130e-03	3.020902e-02
10.1231       	2.067548e-03	1.656459e-03	2.995671e-02
10.1235       	2.077662e-03	1.665001e-03	3.013171e-02
10.1239       	2.077347e-03	1.665156e-03	3.020820e-02
10.1243       	2.087637e-03	1.673972e-03	3.069002e-02
10.1247       	2.098162e-03	1.682782e-03	3.112829e-02
10.1251       	2.098062e-03	1.683036e-03	3.106699e-02
10.1255       	2.097884e-03	1.683236e-03	3.070667e-02
10.1258       	2.097671e-03	1.683532e-03	3.057519e-02
10.1262       	2.097448e-03	1.683786e-03	3.058276e-02
10.1266       	2.097235e-03	1.683998e-03	3.030937e-02
10.127        	2.096940e-03	1.684093e-03	3.033632e-02
10.1274       	2.096645e-03	1.684231e-03	3.025613e-02
10.1278       	2.096384e-03	1.684438e-03	2.991557e-02
10.1282       	2.096216e-03	1.684752e-03	3.021674e-02
10.1286       	2.095925e-03	1.684922e-03	3.020221e-02
10.129        	2.095600e-03	1.685127e-03	3.041453e-02
10.1294       	2.095304e-03	1.685420e-03	3.045732e-02
