# Residuals   
# Time        	Ux            	Uy            	p             
2             	N/A	N/A
2.00048       	3.406353e-04	1.173981e-04	1.002775e-02
2.00095       	3.402767e-04	1.173967e-04	8.764680e-03
2.00143       	3.398352e-04	1.173825e-04	8.602161e-03
2.0019        	3.393120e-04	1.173503e-04	8.444811e-03
2.00238       	3.387570e-04	1.173117e-04	8.371540e-03
2.00286       	3.382510e-04	1.172694e-04	8.391977e-03
2.00333       	3.377675e-04	1.172180e-04	8.380575e-03
2.00381       	3.372594e-04	1.171544e-04	8.450210e-03
2.00429       	3.367399e-04	1.170904e-04	8.478601e-03
2.00476       	3.362610e-04	1.170256e-04	8.452095e-03
2.00524       	3.358426e-04	1.169822e-04	8.392696e-03
2.00571       	3.354917e-04	1.169353e-04	8.419755e-03
2.00619       	3.351055e-04	1.168976e-04	8.413848e-03
2.00667       	3.347843e-04	1.168702e-04	8.439832e-03
2.00714       	3.343705e-04	1.168328e-04	8.395059e-03
2.00762       	3.340361e-04	1.167832e-04	8.379102e-03
2.0081        	3.337836e-04	1.167288e-04	8.375164e-03
2.00857       	3.336114e-04	1.166891e-04	8.350995e-03
2.00905       	3.334994e-04	1.166737e-04	8.376808e-03
2.00952       	3.334845e-04	1.166449e-04	8.372643e-03
2.01          	3.336619e-04	1.165958e-04	8.401400e-03
2.01048       	3.337206e-04	1.165354e-04	8.386130e-03
2.01095       	3.336479e-04	1.164680e-04	8.416503e-03
2.01143       	3.334552e-04	1.164123e-04	8.547283e-03
2.0119        	3.331878e-04	1.163674e-04	8.572618e-03
2.01238       	3.328377e-04	1.163410e-04	8.672719e-03
2.01286       	3.323727e-04	1.162999e-04	8.767110e-03
2.01333       	3.319013e-04	1.162577e-04	8.776212e-03
2.01381       	3.322069e-04	1.162109e-04	8.817640e-03
2.01429       	3.321182e-04	1.161487e-04	8.903033e-03
2.01476       	3.319028e-04	1.160782e-04	8.991274e-03
2.01524       	3.315940e-04	1.159855e-04	9.060249e-03
2.01571       	3.312196e-04	1.158840e-04	9.075834e-03
2.01619       	3.308433e-04	1.157680e-04	9.164822e-03
2.01667       	3.304164e-04	1.156650e-04	9.283305e-03
2.01714       	3.298977e-04	1.155648e-04	9.386713e-03
2.01762       	3.292792e-04	1.154779e-04	9.515733e-03
2.0181        	3.285685e-04	1.153927e-04	9.568844e-03
2.01857       	3.277809e-04	1.153149e-04	9.498402e-03
2.01905       	3.269375e-04	1.152510e-04	9.546207e-03
2.01952       	3.261192e-04	1.151783e-04	9.488360e-03
2.02          	3.256986e-04	1.151004e-04	9.431547e-03
2.02048       	3.251794e-04	1.150199e-04	9.477439e-03
2.02095       	3.252323e-04	1.149277e-04	9.512327e-03
2.02143       	3.251623e-04	1.148170e-04	9.622546e-03
2.0219        	3.248650e-04	1.147007e-04	9.739130e-03
2.02238       	3.243874e-04	1.145987e-04	9.777434e-03
2.02286       	3.238805e-04	1.144983e-04	9.868077e-03
2.02333       	3.234331e-04	1.143692e-04	9.770108e-03
2.02381       	3.228211e-04	1.142549e-04	9.745160e-03
2.02429       	3.220742e-04	1.141306e-04	9.701500e-03
2.02476       	3.213091e-04	1.140306e-04	9.644844e-03
2.02524       	3.208405e-04	1.139205e-04	9.613024e-03
2.02571       	3.203298e-04	1.137902e-04	9.727973e-03
2.02619       	3.197735e-04	1.136598e-04	9.716433e-03
2.02667       	3.190392e-04	1.135370e-04	9.763232e-03
2.02714       	3.184040e-04	1.134241e-04	9.784060e-03
2.02762       	3.178804e-04	1.132967e-04	9.792615e-03
2.0281        	3.170065e-04	1.131833e-04	9.750957e-03
2.02857       	3.160199e-04	1.130893e-04	9.622318e-03
2.02905       	3.150552e-04	1.130015e-04	9.464910e-03
2.02952       	3.142399e-04	1.129188e-04	9.443540e-03
2.03          	3.140511e-04	1.128427e-04	9.410447e-03
2.03048       	3.138685e-04	1.127656e-04	9.338068e-03
2.03095       	3.135224e-04	1.126956e-04	9.341178e-03
2.03143       	3.129950e-04	1.126409e-04	9.328221e-03
2.0319        	3.123653e-04	1.125856e-04	9.275548e-03
2.03238       	3.117730e-04	1.125206e-04	9.243380e-03
2.03286       	3.110691e-04	1.124558e-04	9.343578e-03
2.03333       	3.103405e-04	1.123770e-04	9.363432e-03
2.03381       	3.095065e-04	1.123032e-04	9.352182e-03
2.03429       	3.086637e-04	1.122175e-04	9.282453e-03
2.03476       	3.077655e-04	1.121196e-04	9.214326e-03
2.03524       	3.072546e-04	1.120457e-04	9.134652e-03
2.03571       	3.067670e-04	1.119730e-04	9.064033e-03
2.03619       	3.066246e-04	1.118837e-04	9.016003e-03
2.03667       	3.065797e-04	1.118149e-04	8.993877e-03
2.03714       	3.063940e-04	1.117563e-04	8.949520e-03
2.03762       	3.062051e-04	1.116983e-04	8.875053e-03
2.0381        	3.060074e-04	1.116507e-04	8.847893e-03
2.03857       	3.057631e-04	1.115860e-04	8.847774e-03
2.03905       	3.053855e-04	1.115310e-04	8.773741e-03
2.03952       	3.051584e-04	1.114648e-04	8.754830e-03
2.04          	3.049333e-04	1.113895e-04	8.753358e-03
2.04048       	3.046217e-04	1.113360e-04	8.738637e-03
2.04095       	3.042980e-04	1.112738e-04	8.707380e-03
2.04143       	3.039596e-04	1.112297e-04	8.662991e-03
2.0419        	3.035954e-04	1.111818e-04	8.627252e-03
2.04238       	3.033604e-04	1.111447e-04	8.612385e-03
2.04286       	3.031491e-04	1.110958e-04	8.572152e-03
2.04333       	3.028721e-04	1.110547e-04	8.540085e-03
2.04381       	3.026629e-04	1.110187e-04	8.493786e-03
2.04429       	3.025125e-04	1.109828e-04	8.449026e-03
2.04476       	3.022366e-04	1.109552e-04	8.394759e-03
2.04524       	3.021007e-04	1.109279e-04	8.321339e-03
2.04571       	3.020567e-04	1.109033e-04	8.319997e-03
2.04619       	3.020543e-04	1.108939e-04	8.316273e-03
2.04667       	3.020276e-04	1.108938e-04	8.312971e-03
2.04714       	3.019199e-04	1.109069e-04	8.323003e-03
2.04762       	3.017659e-04	1.109257e-04	8.345678e-03
2.0481        	3.017041e-04	1.109374e-04	8.377128e-03
2.04857       	3.017717e-04	1.109527e-04	8.409943e-03
2.04905       	3.019572e-04	1.109735e-04	8.423476e-03
2.04952       	3.021715e-04	1.109904e-04	8.469086e-03
